datesk;Item Name;Date;price
20110204;Chillies small (C.B.P);02/04/2011;NULL
20110204;Chillies Bajji yagani;02/04/2011;NULL
20110205;Chillies small (C.B.P);02/05/2011;NULL
20110205;Chillies Cleaned;02/05/2011;NULL
20110205;Chillies Bajji;02/05/2011;NULL
20110205;Chillies Green;02/05/2011;NULL
20110205;Chillies Bajji yagani;02/05/2011;NULL
20110206;Chillies Green;02/06/2011;NULL
20110206;Chillies Bajji;02/06/2011;NULL
20110206;Chillies Cleaned;02/06/2011;NULL
20110206;Chillies small (C.B.P);02/06/2011;NULL
20110206;Chillies Bajji yagani;02/06/2011;NULL
20110207;Chillies small (C.B.P);02/07/2011;NULL
20110207;Chillies Cleaned;02/07/2011;NULL
20110207;Chillies Bajji;02/07/2011;NULL
20110207;Chillies Green;02/07/2011;NULL
20110207;Chillies Bajji yagani;02/07/2011;NULL
20110208;Chillies Green;02/08/2011;NULL
20110208;Chillies Bajji;02/08/2011;NULL
20110208;Chillies Cleaned;02/08/2011;NULL
20110208;Chillies small (C.B.P);02/08/2011;NULL
20110208;Chillies Bajji yagani;02/08/2011;NULL
20110209;Chillies small (C.B.P);02/09/2011;NULL
20110209;Chillies Cleaned;02/09/2011;NULL
20110209;Chillies Bajji;02/09/2011;NULL
20110209;Chillies Green;02/09/2011;NULL
20110209;Chillies Bajji yagani;02/09/2011;NULL
20110210;Chillies Green;02/10/2011;NULL
20110210;Chillies Bajji;02/10/2011;NULL
20110210;Chillies Cleaned;02/10/2011;NULL
20110210;Chillies small (C.B.P);02/10/2011;NULL
20110210;Chillies Bajji yagani;02/10/2011;NULL
20110211;Chillies small (C.B.P);02/11/2011;NULL
20110211;Chillies Cleaned;02/11/2011;NULL
20110211;Chillies Bajji;02/11/2011;NULL
20110211;Chillies Green;02/11/2011;NULL
20110211;Chillies Bajji yagani;02/11/2011;NULL
20110212;Chillies Green;02/12/2011;NULL
20110212;Chillies Bajji;02/12/2011;NULL
20110212;Chillies Cleaned;02/12/2011;NULL
20110212;Chillies small (C.B.P);02/12/2011;NULL
20110212;Chillies Bajji yagani;02/12/2011;NULL
20110213;Chillies small (C.B.P);13/02/2011;NULL
20110213;Chillies Cleaned;13/02/2011;NULL
20110213;Chillies Bajji;13/02/2011;NULL
20110213;Chillies Green;13/02/2011;NULL
20110213;Chillies Bajji yagani;13/02/2011;NULL
20110214;Chillies Green;14/02/2011;NULL
20110214;Chillies Bajji;14/02/2011;NULL
20110214;Chillies Cleaned;14/02/2011;NULL
20110214;Chillies small (C.B.P);14/02/2011;NULL
20110214;Chillies Bajji yagani;14/02/2011;NULL
20110215;Chillies small (C.B.P);15/02/2011;NULL
20110215;Chillies Cleaned;15/02/2011;NULL
20110215;Chillies Bajji;15/02/2011;NULL
20110215;Chillies Green;15/02/2011;NULL
20110215;Chillies Bajji yagani;15/02/2011;NULL
20110216;Chillies Green;16/02/2011;NULL
20110216;Chillies Bajji;16/02/2011;NULL
20110216;Chillies Cleaned;16/02/2011;NULL
20110216;Chillies small (C.B.P);16/02/2011;NULL
20110216;Chillies Bajji yagani;16/02/2011;NULL
20110217;Chillies small (C.B.P);17/02/2011;NULL
20110217;Chillies Cleaned;17/02/2011;NULL
20110217;Chillies Bajji;17/02/2011;NULL
20110217;Chillies Green;17/02/2011;NULL
20110217;Chillies Bajji yagani;17/02/2011;NULL
20110218;Chillies Green;18/02/2011;NULL
20110218;Chillies Bajji;18/02/2011;NULL
20110218;Chillies Cleaned;18/02/2011;NULL
20110218;Chillies small (C.B.P);18/02/2011;NULL
20110218;Chillies Bajji yagani;18/02/2011;NULL
20110219;Chillies small (C.B.P);19/02/2011;NULL
20110219;Chillies Cleaned;19/02/2011;NULL
20110219;Chillies Bajji;19/02/2011;NULL
20110219;Chillies Green;19/02/2011;NULL
20110219;Chillies Bajji yagani;19/02/2011;NULL
20110220;Chillies Green;20/02/2011;NULL
20110220;Chillies Bajji;20/02/2011;NULL
20110220;Chillies Cleaned;20/02/2011;NULL
20110220;Chillies small (C.B.P);20/02/2011;NULL
20110220;Chillies Bajji yagani;20/02/2011;NULL
20110221;Chillies small (C.B.P);21/02/2011;NULL
20110221;Chillies Cleaned;21/02/2011;NULL
20110221;Chillies Bajji;21/02/2011;NULL
20110221;Chillies Green;21/02/2011;NULL
20110221;Chillies Bajji yagani;21/02/2011;NULL
20110222;Chillies Green;22/02/2011;NULL
20110222;Chillies Bajji;22/02/2011;NULL
20110222;Chillies Cleaned;22/02/2011;NULL
20110222;Chillies small (C.B.P);22/02/2011;NULL
20110222;Chillies Bajji yagani;22/02/2011;NULL
20110223;Chillies Bajji yagani;23/02/2011;NULL
20110223;Chillies small (C.B.P);23/02/2011;NULL
20110223;Chillies Cleaned;23/02/2011;NULL
20110223;Chillies Bajji;23/02/2011;NULL
20110223;Chillies Green;23/02/2011;NULL
20110224;Chillies Green;24/02/2011;NULL
20110224;Chillies Bajji;24/02/2011;NULL
20110224;Chillies Cleaned;24/02/2011;NULL
20110224;Chillies small (C.B.P);24/02/2011;NULL
20110224;Chillies Bajji yagani;24/02/2011;NULL
20110225;Chillies small (C.B.P);25/02/2011;NULL
20110225;Chillies Cleaned;25/02/2011;NULL
20110225;Chillies Bajji;25/02/2011;NULL
20110225;Chillies Green;25/02/2011;NULL
20110225;Chillies Bajji yagani;25/02/2011;NULL
20110226;Chillies Green;26/02/2011;NULL
20110226;Chillies Bajji;26/02/2011;NULL
20110226;Chillies Cleaned;26/02/2011;NULL
20110226;Chillies small (C.B.P);26/02/2011;NULL
20110226;Chillies Bajji yagani;26/02/2011;NULL
20110227;Chillies small (C.B.P);27/02/2011;NULL
20110227;Chillies Cleaned;27/02/2011;NULL
20110227;Chillies Bajji;27/02/2011;NULL
20110227;Chillies Green;27/02/2011;NULL
20110227;Chillies Bajji yagani;27/02/2011;NULL
20110228;Chillies Green;28/02/2011;NULL
20110228;Chillies Bajji;28/02/2011;NULL
20110228;Chillies Cleaned;28/02/2011;NULL
20110228;Chillies small (C.B.P);28/02/2011;NULL
20110228;Chillies Bajji yagani;28/02/2011;NULL
20110301;Chillies small (C.B.P);03/01/2011;NULL
20110301;Chillies Cleaned;03/01/2011;NULL
20110301;Chillies Bajji;03/01/2011;NULL
20110301;Chillies Green;03/01/2011;NULL
20110301;Chillies Bajji yagani;03/01/2011;NULL
20110302;Chillies Green;03/02/2011;NULL
20110302;Chillies Bajji;03/02/2011;NULL
20110302;Chillies Cleaned;03/02/2011;NULL
20110302;Chillies small (C.B.P);03/02/2011;NULL
20110302;Chillies Bajji yagani;03/02/2011;NULL
20110303;Chillies small (C.B.P);03/03/2011;NULL
20110303;Chillies Cleaned;03/03/2011;NULL
20110303;Chillies Bajji;03/03/2011;NULL
20110303;Chillies Green;03/03/2011;NULL
20110303;Chillies Bajji yagani;03/03/2011;NULL
20110304;Chillies Green;03/04/2011;NULL
20110304;Chillies Bajji;03/04/2011;NULL
20110304;Chillies Cleaned;03/04/2011;NULL
20110304;Chillies small (C.B.P);03/04/2011;NULL
20110304;Chillies Bajji yagani;03/04/2011;NULL
20110305;Chillies small (C.B.P);03/05/2011;NULL
20110305;Chillies Cleaned;03/05/2011;NULL
20110305;Chillies Bajji;03/05/2011;NULL
20110305;Chillies Green;03/05/2011;NULL
20110305;Chillies Bajji yagani;03/05/2011;NULL
20110306;Chillies Green;03/06/2011;NULL
20110306;Chillies Bajji;03/06/2011;NULL
20110306;Chillies Cleaned;03/06/2011;NULL
20110306;Chillies small (C.B.P);03/06/2011;NULL
20110306;Chillies Bajji yagani;03/06/2011;NULL
20110307;Chillies small (C.B.P);03/07/2011;NULL
20110307;Chillies Cleaned;03/07/2011;NULL
20110307;Chillies Bajji;03/07/2011;NULL
20110307;Chillies Green;03/07/2011;NULL
20110307;Chillies Bajji yagani;03/07/2011;NULL
20110308;Chillies Green;03/08/2011;NULL
20110308;Chillies Bajji;03/08/2011;NULL
20110308;Chillies Cleaned;03/08/2011;NULL
20110308;Chillies small (C.B.P);03/08/2011;NULL
20110308;Chillies Bajji yagani;03/08/2011;NULL
20110309;Chillies Bajji yagani;03/09/2011;0
20110309;Chillies small (C.B.P);03/09/2011;38
20110309;Chillies Cleaned;03/09/2011;33
20110309;Chillies Bajji;03/09/2011;20
20110309;Chillies Green;03/09/2011;30
20110310;Chillies Green;03/10/2011;30
20110310;Chillies Bajji;03/10/2011;20
20110310;Chillies Cleaned;03/10/2011;33
20110310;Chillies small (C.B.P);03/10/2011;38
20110310;Chillies Bajji yagani;03/10/2011;0
20110311;Chillies small (C.B.P);03/11/2011;NULL
20110311;Chillies Cleaned;03/11/2011;NULL
20110311;Chillies Bajji;03/11/2011;NULL
20110311;Chillies Green;03/11/2011;NULL
20110311;Chillies Bajji yagani;03/11/2011;NULL
20110312;Chillies Green;03/12/2011;NULL
20110312;Chillies Bajji;03/12/2011;NULL
20110312;Chillies Cleaned;03/12/2011;NULL
20110312;Chillies small (C.B.P);03/12/2011;NULL
20110312;Chillies Bajji yagani;03/12/2011;NULL
20110313;Chillies small (C.B.P);13/03/2011;NULL
20110313;Chillies Cleaned;13/03/2011;NULL
20110313;Chillies Bajji;13/03/2011;NULL
20110313;Chillies Green;13/03/2011;NULL
20110313;Chillies Bajji yagani;13/03/2011;NULL
20110314;Chillies Green;14/03/2011;30
20110314;Chillies Bajji;14/03/2011;20
20110314;Chillies Cleaned;14/03/2011;33
20110314;Chillies small (C.B.P);14/03/2011;38
20110314;Chillies Bajji yagani;14/03/2011;0
20110315;Chillies small (C.B.P);15/03/2011;NULL
20110315;Chillies Cleaned;15/03/2011;NULL
20110315;Chillies Bajji;15/03/2011;NULL
20110315;Chillies Green;15/03/2011;NULL
20110315;Chillies Bajji yagani;15/03/2011;NULL
20110316;Chillies Green;16/03/2011;30
20110316;Chillies Bajji;16/03/2011;20
20110316;Chillies Cleaned;16/03/2011;33
20110316;Chillies small (C.B.P);16/03/2011;38
20110316;Chillies Bajji yagani;16/03/2011;0
20110317;Chillies small (C.B.P);17/03/2011;38
20110317;Chillies Cleaned;17/03/2011;33
20110317;Chillies Bajji;17/03/2011;20
20110317;Chillies Green;17/03/2011;30
20110317;Chillies Bajji yagani;17/03/2011;0
20110318;Chillies Green;18/03/2011;NULL
20110318;Chillies Bajji;18/03/2011;NULL
20110318;Chillies Cleaned;18/03/2011;NULL
20110318;Chillies small (C.B.P);18/03/2011;NULL
20110318;Chillies Bajji yagani;18/03/2011;NULL
20110319;Chillies small (C.B.P);19/03/2011;NULL
20110319;Chillies Cleaned;19/03/2011;NULL
20110319;Chillies Bajji;19/03/2011;NULL
20110319;Chillies Green;19/03/2011;NULL
20110319;Chillies Bajji yagani;19/03/2011;NULL
20110320;Chillies Green;20/03/2011;NULL
20110320;Chillies Bajji;20/03/2011;NULL
20110320;Chillies Cleaned;20/03/2011;NULL
20110320;Chillies small (C.B.P);20/03/2011;NULL
20110320;Chillies Bajji yagani;20/03/2011;NULL
20110321;Chillies small (C.B.P);21/03/2011;NULL
20110321;Chillies Cleaned;21/03/2011;NULL
20110321;Chillies Bajji;21/03/2011;NULL
20110321;Chillies Green;21/03/2011;NULL
20110321;Chillies Bajji yagani;21/03/2011;NULL
20110322;Chillies Green;22/03/2011;30
20110322;Chillies Bajji;22/03/2011;20
20110322;Chillies Cleaned;22/03/2011;33
20110322;Chillies small (C.B.P);22/03/2011;38
20110322;Chillies Bajji yagani;22/03/2011;0
20110323;Chillies small (C.B.P);23/03/2011;NULL
20110323;Chillies Cleaned;23/03/2011;NULL
20110323;Chillies Bajji;23/03/2011;NULL
20110323;Chillies Green;23/03/2011;NULL
20110323;Chillies Bajji yagani;23/03/2011;NULL
20110324;Chillies Green;24/03/2011;NULL
20110324;Chillies Bajji;24/03/2011;NULL
20110324;Chillies Cleaned;24/03/2011;NULL
20110324;Chillies small (C.B.P);24/03/2011;NULL
20110324;Chillies Bajji yagani;24/03/2011;NULL
20110325;Chillies small (C.B.P);25/03/2011;NULL
20110325;Chillies Cleaned;25/03/2011;NULL
20110325;Chillies Bajji;25/03/2011;NULL
20110325;Chillies Green;25/03/2011;NULL
20110325;Chillies Bajji yagani;25/03/2011;NULL
20110326;Chillies Green;26/03/2011;30
20110326;Chillies Bajji;26/03/2011;20
20110326;Chillies Cleaned;26/03/2011;33
20110326;Chillies small (C.B.P);26/03/2011;38
20110326;Chillies Bajji yagani;26/03/2011;0
20110327;Chillies small (C.B.P);27/03/2011;NULL
20110327;Chillies Cleaned;27/03/2011;NULL
20110327;Chillies Bajji;27/03/2011;NULL
20110327;Chillies Green;27/03/2011;NULL
20110327;Chillies Bajji yagani;27/03/2011;NULL
20110328;Chillies Green;28/03/2011;NULL
20110328;Chillies Bajji;28/03/2011;NULL
20110328;Chillies Cleaned;28/03/2011;NULL
20110328;Chillies small (C.B.P);28/03/2011;NULL
20110328;Chillies Bajji yagani;28/03/2011;NULL
20110329;Chillies small (C.B.P);29/03/2011;NULL
20110329;Chillies Cleaned;29/03/2011;NULL
20110329;Chillies Bajji;29/03/2011;NULL
20110329;Chillies Green;29/03/2011;NULL
20110329;Chillies Bajji yagani;29/03/2011;NULL
20110330;Chillies Green;30/03/2011;NULL
20110330;Chillies Bajji;30/03/2011;NULL
20110330;Chillies Cleaned;30/03/2011;NULL
20110330;Chillies small (C.B.P);30/03/2011;NULL
20110330;Chillies Bajji yagani;30/03/2011;NULL
20110331;Chillies small (C.B.P);31/03/2011;NULL
20110331;Chillies Cleaned;31/03/2011;NULL
20110331;Chillies Bajji;31/03/2011;NULL
20110331;Chillies Green;31/03/2011;NULL
20110331;Chillies Bajji yagani;31/03/2011;NULL
20110401;Chillies Green;04/01/2011;NULL
20110401;Chillies Bajji;04/01/2011;NULL
20110401;Chillies Cleaned;04/01/2011;NULL
20110401;Chillies small (C.B.P);04/01/2011;NULL
20110401;Chillies Bajji yagani;04/01/2011;NULL
20110402;Chillies small (C.B.P);04/02/2011;NULL
20110402;Chillies Cleaned;04/02/2011;NULL
20110402;Chillies Bajji;04/02/2011;NULL
20110402;Chillies Green;04/02/2011;NULL
20110402;Chillies Bajji yagani;04/02/2011;NULL
20110403;Chillies Green;04/03/2011;NULL
20110403;Chillies Bajji;04/03/2011;NULL
20110403;Chillies Cleaned;04/03/2011;NULL
20110403;Chillies small (C.B.P);04/03/2011;NULL
20110403;Chillies Bajji yagani;04/03/2011;NULL
20110404;Chillies small (C.B.P);04/04/2011;NULL
20110404;Chillies Cleaned;04/04/2011;NULL
20110404;Chillies Bajji;04/04/2011;NULL
20110404;Chillies Green;04/04/2011;NULL
20110404;Chillies Bajji yagani;04/04/2011;NULL
20110405;Chillies Green;04/05/2011;NULL
20110405;Chillies Bajji;04/05/2011;NULL
20110405;Chillies Cleaned;04/05/2011;NULL
20110405;Chillies small (C.B.P);04/05/2011;NULL
20110405;Chillies Bajji yagani;04/05/2011;NULL
20110406;Chillies small (C.B.P);04/06/2011;38
20110406;Chillies Cleaned;04/06/2011;33
20110406;Chillies Bajji;04/06/2011;20
20110406;Chillies Green;04/06/2011;30
20110406;Chillies Bajji yagani;04/06/2011;0
20110407;Chillies Green;04/07/2011;30
20110407;Chillies Bajji;04/07/2011;20
20110407;Chillies Cleaned;04/07/2011;33
20110407;Chillies small (C.B.P);04/07/2011;38
20110407;Chillies Bajji yagani;04/07/2011;0
20110408;Chillies small (C.B.P);04/08/2011;38
20110408;Chillies Cleaned;04/08/2011;33
20110408;Chillies Bajji;04/08/2011;20
20110408;Chillies Green;04/08/2011;30
20110408;Chillies Bajji yagani;04/08/2011;0
20110409;Chillies Green;04/09/2011;NULL
20110409;Chillies Bajji;04/09/2011;NULL
20110409;Chillies Cleaned;04/09/2011;NULL
20110409;Chillies small (C.B.P);04/09/2011;NULL
20110409;Chillies Bajji yagani;04/09/2011;NULL
20110410;Chillies Bajji yagani;04/10/2011;NULL
20110410;Chillies small (C.B.P);04/10/2011;NULL
20110410;Chillies Cleaned;04/10/2011;NULL
20110410;Chillies Bajji;04/10/2011;NULL
20110410;Chillies Green;04/10/2011;NULL
20110411;Chillies Green;04/11/2011;30
20110411;Chillies Bajji;04/11/2011;20
20110411;Chillies Cleaned;04/11/2011;33
20110411;Chillies small (C.B.P);04/11/2011;38
20110411;Chillies Bajji yagani;04/11/2011;0
20110412;Chillies small (C.B.P);04/12/2011;NULL
20110412;Chillies Cleaned;04/12/2011;NULL
20110412;Chillies Bajji;04/12/2011;NULL
20110412;Chillies Green;04/12/2011;NULL
20110412;Chillies Bajji yagani;04/12/2011;NULL
20110413;Chillies Green;13/04/2011;30
20110413;Chillies Bajji;13/04/2011;20
20110413;Chillies Cleaned;13/04/2011;33
20110413;Chillies small (C.B.P);13/04/2011;38
20110413;Chillies Bajji yagani;13/04/2011;0
20110414;Chillies Bajji yagani;14/04/2011;NULL
20110414;Chillies small (C.B.P);14/04/2011;NULL
20110414;Chillies Cleaned;14/04/2011;NULL
20110414;Chillies Bajji;14/04/2011;NULL
20110414;Chillies Green;14/04/2011;NULL
20110415;Chillies Green;15/04/2011;NULL
20110415;Chillies Bajji;15/04/2011;NULL
20110415;Chillies Cleaned;15/04/2011;NULL
20110415;Chillies small (C.B.P);15/04/2011;NULL
20110415;Chillies Bajji yagani;15/04/2011;NULL
20110416;Chillies small (C.B.P);16/04/2011;NULL
20110416;Chillies Cleaned;16/04/2011;NULL
20110416;Chillies Bajji;16/04/2011;NULL
20110416;Chillies Green;16/04/2011;NULL
20110416;Chillies Bajji yagani;16/04/2011;NULL
20110417;Chillies Bajji yagani;17/04/2011;NULL
20110417;Chillies Green;17/04/2011;NULL
20110417;Chillies Bajji;17/04/2011;NULL
20110417;Chillies Cleaned;17/04/2011;NULL
20110417;Chillies small (C.B.P);17/04/2011;NULL
20110418;Chillies small (C.B.P);18/04/2011;38
20110418;Chillies Cleaned;18/04/2011;33
20110418;Chillies Bajji;18/04/2011;20
20110418;Chillies Green;18/04/2011;30
20110418;Chillies Bajji yagani;18/04/2011;0
20110419;Chillies Green;19/04/2011;NULL
20110419;Chillies Bajji;19/04/2011;NULL
20110419;Chillies Cleaned;19/04/2011;NULL
20110419;Chillies small (C.B.P);19/04/2011;NULL
20110419;Chillies Bajji yagani;19/04/2011;NULL
20110420;Chillies small (C.B.P);20/04/2011;NULL
20110420;Chillies Cleaned;20/04/2011;NULL
20110420;Chillies Bajji;20/04/2011;NULL
20110420;Chillies Green;20/04/2011;NULL
20110420;Chillies Bajji yagani;20/04/2011;NULL
